cd_name,cd_number,borough,lots_res_1_2_family_bldg,pct_lot_area_res_1_2_family_bldg,lots_res_multifamily_walkup,pct_lot_area_res_multifamily_walkup,lots_res_multifamily_elevator,pct_lot_area_res_multifamily_elevator,lots_mixed_use,pct_lot_area_mixed_use,lots_commercial_office,pct_lot_area_commercial_office,lots_industrial_manufacturing,pct_lot_area_industrial_manufacturing,lots_transportation_utility,pct_lot_area_transportation_utility,lots_public_facility_institution,pct_lot_area_public_facility_institution,lots_open_space,pct_lot_area_open_space,lots_parking,pct_lot_area_parking,lots_vacant,pct_lot_area_vacant,lots_other_no_data,pct_lot_area_other_no_data,lots_total,count_hospitals_clinics,count_libraries,count_parks,pct_served_parks,count_public_schools,cd_total_buildings,cd_total_resunits,pct_clean_strts,cd_area_sqmi,cd_area_acres
Bronx Community District 1,201,Bronx,1174,5.77,835,7.41,118,14.98,528,8.27,281,6.27,287,18.80,99,7.22,177,10.53,85,6.48,194,4.03,182,3.13,54,7.10,4014,51,2,3,0.93,35,4317,39995,86.0,2.16663257807441,1386.63795700688
Bronx Community District 2,202,Bronx,811,4.14,758,6.02,118,3.06,203,4.17,113,3.02,360,33.25,111,9.22,104,5.76,46,2.66,108,2.28,183,4.93,83,21.50,2998,29,1,2,0.75,14,3220,20813,81.3,2.21879275712502,1420.02030565601
Bronx Community District 3,203,Bronx,1193,10.20,1041,12.42,131,12.78,321,9.68,127,5.69,116,6.54,51,2.75,207,12.42,82,20.83,194,3.41,211,2.41,34,0.87,3708,38,1,11,0.80,41,3633,35499,83.7,1.60757476217091,1028.84273342443
Bronx Community District 6,206,Bronx,1253,8.08,1307,12.64,152,7.78,439,8.21,213,5.74,73,2.04,76,5.37,154,18.46,73,24.79,195,3.86,204,2.77,27,0.26,4166,38,3,5,0.77,37,4478,35247,77.6,1.53040091256832,979.45171520093
Bronx Community District 4,204,Bronx,727,4.43,1103,12.29,307,14.81,337,10.03,191,6.91,29,2.54,79,9.66,164,12.30,100,15.89,137,6.20,175,3.12,27,1.84,3376,41,3,9,0.93,37,3315,53613,89.2,1.99204026169895,1274.89942997747
Bronx Community District 5,205,Bronx,1137,11.94,869,16.64,319,18.35,287,12.32,217,7.01,16,1.26,35,3.09,137,15.95,69,6.70,82,2.23,122,4.26,11,0.26,3301,47,2,5,0.95,28,3454,52226,89.1,1.37445869354401,879.649191142532
Bronx Community District 7,207,Bronx,1224,9.43,975,14.66,354,14.60,357,8.92,229,5.98,20,1.03,58,9.31,163,21.50,29,7.31,76,2.02,122,5.09,11,0.16,3618,30,2,6,0.83,26,4042,52985,83.0,1.91233410555648,1223.88774362478
Bronx Community District 8,208,Bronx,3072,26.64,555,4.32,282,17.28,164,2.69,187,3.22,11,0.67,38,11.51,141,18.36,50,8.55,63,0.88,426,5.01,10,0.85,4999,10,5,6,0.87,20,5462,45253,100.0,3.30267654792179,2113.70248348011
Bronx Community District 9,209,Bronx,6225,21.49,3153,13.91,110,17.10,311,6.18,277,5.59,69,4.09,58,3.01,157,6.34,47,12.89,182,3.37,386,4.95,34,1.05,11009,14,4,8,0.81,39,13455,66176,87.9,4.09881276340248,2623.22712854682
Bronx Community District 10,210,Bronx,11177,33.07,1861,6.34,59,8.48,381,1.65,378,7.39,94,1.78,65,1.25,143,11.14,68,19.86,222,2.00,727,5.53,51,1.49,15226,11,5,5,0.47,23,20152,50019,100.0,6.42403870998229,4111.36433684559
Bronx Community District 11,211,Bronx,9210,39.35,1715,8.52,162,7.62,402,4.11,329,7.37,67,2.54,124,7.67,134,17.11,14,0.71,171,1.62,370,2.03,20,1.33,12718,38,3,1,0.73,22,15202,52684,100.0,3.59833159794333,2302.92077489203
Bronx Community District 12,212,Bronx,14377,36.11,3575,11.41,110,5.40,494,2.05,402,3.95,142,3.02,175,6.08,244,6.18,32,21.02,316,1.60,746,2.90,43,0.28,20656,20,4,1,0.51,28,24534,55767,76.9,5.55628808885751,3556.00670000192
Brooklyn Community District 1,301,Brooklyn,2536,5.24,5905,16.94,463,7.43,2869,12.95,471,4.85,1134,22.40,140,11.28,336,5.32,105,5.19,380,2.86,330,2.33,289,3.22,14958,26,4,11,0.96,32,16395,92416,86.4,4.7256714355482,3024.41468442153
Brooklyn Community District 2,302,Brooklyn,2501,8.54,2917,12.42,260,10.80,1228,11.62,300,7.14,147,2.61,71,20.61,248,14.07,119,8.15,136,1.33,187,1.81,50,0.90,8164,32,4,15,0.72,31,8614,69385,89.1,2.84558516455568,1821.1654523239
Brooklyn Community District 3,303,Brooklyn,6854,24.01,6521,27.92,230,12.06,1499,9.11,227,2.96,162,2.81,41,0.57,358,11.78,134,3.53,222,1.74,571,3.06,76,0.47,16895,31,3,8,0.87,34,17036,72398,80.1,2.85031589163466,1824.19310260403
