cd_name,cd_number,borough,fp_100_area,fp_500_area,fp_100_bldg,fp_500_bldg,fp_100_cost_burden,fp_500_cost_burden,fp_100_cost_burden_value,fp_500_cost_burden_value,fp_100_mhhi,fp_500_mhhi,fp_100_mortg_value,fp_500_mortg_value,fp_100_openspace,fp_500_openspace,fp_100_ownerocc,fp_500_ownerocc,fp_100_ownerocc_value,fp_500_ownerocc_value,fp_100_permortg,fp_500_permortg,fp_100_pop_2010,fp_500_pop_2010,fp_100_rent_burden,fp_500_rent_burden,fp_100_rent_burden_value,fp_500_rent_burden_value,fp_100_resunits,fp_500_resunits
Bronx Community District 11,211,Bronx,0.24,0.28,95,409,28.4,47.3,27.0,232.0,56373.0,61500.0,53.0,219.0,0.002,0,13.4,39.8,95.0,490.0,55.8,44.7,296.0,2365.0,50.3,51.2,296.0,366.0,9,498
Bronx Community District 12,212,Bronx,0.27,0.31,89,201,34.6,40.1,405.0,617.0,45648.0,43169.0,678.0,899.0,0.162,0.162,31.9,31.2,1169.0,1538.0,58.0,58.5,40.0,1157.0,49.4,43.8,1149.0,1409.0,57,841
Brooklyn Community District 1,301,Brooklyn,0.82,0.70,1220,3312,36.1,36.8,965.0,1813.0,114784.0,91962.0,1816.0,3167.0,0.140,0.139,19.6,17.9,2672.0,4925.0,68.0,64.3,3397.0,21206.0,41.7,46.2,4043.0,9514.0,11369,23561
Brooklyn Community District 2,302,Brooklyn,0.46,0.47,247,402,22.4,25.0,417.0,510.0,181747.0,124419.0,1369.0,1471.0,0.038,0.029,43.7,34.3,1865.0,2039.0,73.4,72.1,790.0,1919.0,31.7,37.3,604.0,1225.0,1708,3933
Brooklyn Community District 3,303,Brooklyn,0,0.04,0,71,,20.5,,9.0,,81368.0,,19.0,0,0,,15.2,,44.0,,43.2,,0.0,,42.7,,90.0,0,259
Brooklyn Community District 4,304,Brooklyn,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,0,0
Brooklyn Community District 5,305,Brooklyn,0.26,0.62,32,714,39.1,48.7,156.0,721.0,31507.0,35866.0,378.0,1226.0,0.159,0.164,12.7,16.7,399.0,1481.0,94.7,82.8,0.0,2526.0,58.4,56.5,1505.0,3733.0,48,7592
Brooklyn Community District 6,306,Brooklyn,0.68,0.32,1356,1431,25.1,27.2,533.0,788.0,61357.0,67972.0,1498.0,2041.0,0.106,0.079,21.5,23.1,2123.0,2892.0,70.6,70.6,6940.0,14848.0,39.8,39.2,2747.0,3422.0,6174,7721
Brooklyn Community District 7,307,Brooklyn,0.73,0.71,223,348,73.4,47.6,47.0,118.0,39422.0,55816.0,47.0,165.0,0,0.002,15.7,22.0,64.0,248.0,73.4,66.5,67.0,2363.0,65.3,61.8,194.0,515.0,0,167
Brooklyn Community District 8,308,Brooklyn,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,0,0
