borough,under18_rate,moe_under18_rate,over65_rate,moe_over65_rate,lep_rate,moe_lep_rate,pct_hh_rent_burd,moe_hh_rent_burd,poverty_rate,pct_bach_deg,moe_bach_deg,unemployment,moe_unemployment,mean_commute,moe_mean_commute,pct_clean_strts,crime_count,crime_per_1000
Manhattan,14.4,0.1,16.2,0.1,14.8,0.3,35.8,0.6,14.1,87.3,0.3,3.5,0.1,32.2,0.2,97.0,26271,16.1
Staten Island,21.9,0.1,15.9,0.1,11,0.4,44.7,2.1,15.3,88.7,0.5,2.7,0.2,45.2,0.6,99.7,2308,4.9
Bronx,25,0.1,12.5,0.1,26,0.4,50.5,0.7,27.9,72.8,0.4,6,0.2,45.4,0.3,88.3,18859,13.1
Queens,20.2,,15.3,,28.9,0.3,44.8,0.6,17.3,82,0.2,3.6,0.1,44.4,0.2,98.3,18526,8.1
Brooklyn,23,,13.6,0.1,21.8,0.2,44.1,0.4,20.4,82.4,0.2,3.9,0.1,43,0.2,93.2,26514,10.2
