cd_name,cd_number,borough,pct_foreign_born,moe_foreign_born,lep_rate,moe_lep_rate,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,pct_hispanic,poverty_rate,moe_poverty_rate,pct_hh_rent_burd,moe_hh_rent_burd,pct_bach_deg,moe_bach_deg,unemployment,moe_unemployment,mean_commute,moe_mean_commute,crime_count,crime_per_1000
Bronx Community District 1,201,Bronx,,,29.1,1.7,2.8,28.1,0.6,1.10,67.4,32.3,2.1,50.1,2.2,,,6.5,0.9,42.6,2.7,2205,22.0
Bronx Community District 2,202,Bronx,,,29.9,1.8,2.2,27.1,0.7,1.00,69,32.3,2.1,53.3,2.5,,,6.7,0.9,44.7,3.1,864,12.2
Bronx Community District 3,203,Bronx,,,26.3,1.4,1.5,37.2,0.6,1.30,59.4,31.4,2.2,49.3,2,,,6.9,0.7,44.1,2.6,1495,13.5
Bronx Community District 6,206,Bronx,,,27.9,1.5,5.7,26.5,1.4,1.40,65,31.4,2.2,54,2.1,,,7.8,0.8,44.6,2.6,1312,12.2
Bronx Community District 4,204,Bronx,,,35.7,1.4,2.3,28.5,1.4,1.60,66.2,34.7,1.9,53.5,1.8,,,6.3,0.6,43,2,2359,14.6
Bronx Community District 5,205,Bronx,,,36.5,1.4,1.3,26,1.3,1.20,70.2,37.1,2.5,55.4,1.8,,,7.6,0.7,44.5,2.1,1675,12.0
Bronx Community District 7,207,Bronx,,,36,1.5,6.3,15.5,4.8,2.30,71.1,30.8,2.6,53.5,1.8,,,7.1,0.7,45.9,2.1,1900,11.3
Bronx Community District 8,208,Bronx,,,21.6,1.4,32.8,12.9,4,2.70,47.6,18.6,2,45.3,2.3,,,4,0.5,46.6,2.2,961,8.8
Bronx Community District 9,209,Bronx,,,23.8,1.1,2.8,29.2,7.2,2.60,58.2,29.6,1.7,48.3,1.8,,,5.3,0.5,46.8,2,1783,9.5
Bronx Community District 10,210,Bronx,,,15.1,1.4,24.7,23.8,5.4,2.10,44,14.3,1.7,42.6,2.9,,,3.8,0.6,44.9,2.6,1121,8.7
Bronx Community District 11,211,Bronx,,,24.2,1.3,20,21.9,8,2.20,47.9,20,1.8,48.6,2.1,,,5.4,0.6,45.2,1.9,1043,7.7
Bronx Community District 12,212,Bronx,,,12,1,5.9,60.2,2.9,2.80,28.2,22,2,48,2.1,,,5.5,0.5,48,2.1,2022,9.4
Brooklyn Community District 1,301,Brooklyn,,,21.1,1,61.7,5.2,6.1,2.50,24.5,15.4,1.6,38.8,1.5,,,3.6,0.4,34.3,0.9,2056,10.8
Brooklyn Community District 2,302,Brooklyn,,,6.7,0.5,51.4,20.5,10.4,4.70,13,12,1.4,29.1,1.4,,,4.3,0.4,33.6,0.9,2105,12.8
Brooklyn Community District 3,303,Brooklyn,,,9.2,0.7,23.5,51.8,4.1,2.70,17.9,21.6,2,42.4,1.6,,,4.8,0.4,41.5,1.3,2717,15.1
Brooklyn Community District 4,304,Brooklyn,,,24.8,1.3,18.9,17.8,5.2,2.40,55.7,24.6,2,47.9,1.9,,,3.9,0.5,42.2,1.7,1600,14.2
Brooklyn Community District 5,305,Brooklyn,,,14.7,0.8,3.8,54.8,4.1,2.20,35.1,28.9,2.1,50.4,1.7,,,4.1,0.4,45.6,1.7,3423,17.8
Brooklyn Community District 6,306,Brooklyn,,,5.8,0.6,62.3,10.2,7.1,5.20,15.2,10,1.3,27.5,1.8,,,3.8,0.4,38.3,1.1,921,7.0
Brooklyn Community District 7,307,Brooklyn,,,43,1.5,27.9,3.1,28.6,2.50,37.9,23.9,2,44.2,1.9,,,3.5,0.3,43.2,1.5,1192,8.0
Brooklyn Community District 8,308,Brooklyn,,,6.5,0.7,29.1,49.9,4.2,4.00,12.8,21.1,1.8,40,1.8,,,4.1,0.5,41.4,1.5,1140,9.3
Brooklyn Community District 9,309,Brooklyn,,,9,0.9,24.1,61.5,2,2.80,9.6,20.8,1.9,45.3,1.9,,,4.6,0.5,43.3,1.7,1044,8.5
