cd_name,cd_number,borough,pct_foreign_born,moe_foreign_born,lep_rate,moe_lep_rate,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,pct_hispanic,poverty_rate,moe_poverty_rate,pct_hh_rent_burd,moe_hh_rent_burd,pct_bach_deg,moe_bach_deg,unemployment,moe_unemployment,mean_commute,moe_mean_commute,crime_count,crime_per_1000
Brooklyn Community District 10,310,Brooklyn,,,31,1.2,48.8,2.7,26.5,2.20,19.8,17.6,1.5,43,1.8,,,3.4,0.3,44.6,1.4,753,5.3
Brooklyn Community District 11,311,Brooklyn,,,47.1,1.3,39.8,1.1,40.1,2.60,16.4,22.6,1.7,49.6,1.6,,,3.7,0.3,46.5,1.4,1020,4.9
Brooklyn Community District 12,312,Brooklyn,,,35,1.2,60,2.5,22.1,2.50,12.9,26.1,2.2,56.8,1.6,,,3.1,0.3,39.2,1.2,879,4.1
Brooklyn Community District 13,313,Brooklyn,,,47,1.7,54,9.9,17.9,3.20,15,25.1,2.2,45.8,2.1,,,3.8,0.5,48.1,2.2,924,7.3
Brooklyn Community District 14,314,Brooklyn,,,22.2,1.1,40.1,33.1,9.3,3.20,14.3,20.4,1.7,46.8,1.5,,,3.6,0.3,43.5,1.3,1163,6.0
Brooklyn Community District 15,315,Brooklyn,,,38,1.2,64.8,3.6,18.3,3.40,9.9,17.5,1.3,46.5,1.7,,,3.3,0.3,46.8,1.4,1067,5.4
Brooklyn Community District 16,316,Brooklyn,,,7.9,0.8,3.3,73,1.2,1.40,21.1,29.6,2.5,54.2,2.1,,,6.5,0.8,47.2,3.2,1448,14.3
Brooklyn Community District 17,317,Brooklyn,,,8.7,0.7,3.6,85,1.5,2.00,7.9,16.8,1.7,47.3,1.7,,,4,0.4,47.7,1.6,1475,8.4
Brooklyn Community District 18,318,Brooklyn,,,11.6,0.6,22.4,61.4,5.2,1.60,9.4,13.9,1.3,40.3,1.9,,,3.4,0.3,49.5,1.3,1498,6.7
Manhattan Community District 1,101,Manhattan,,,8.3,1,65.2,3.5,19.8,3.80,7.7,7.9,1,27.4,2.3,,,2.6,0.6,26.3,1.3,1055,13.8
Manhattan Community District 2,102,Manhattan,,,5.9,0.7,74,1.9,13.9,3.40,6.8,7.9,1,32.3,2.3,,,2.8,0.5,25,1,2313,26.3
Manhattan Community District 3,103,Manhattan,,,27.6,1.2,33.5,8.6,30.8,3.00,24.1,21.5,1.8,39.8,1.7,,,3.2,0.4,31.8,1.3,2360,15.3
Manhattan Community District 4,104,Manhattan,,,10.5,1,54.7,6.4,16.9,3.20,18.8,11.8,1.4,31.3,1.9,,,3.5,0.6,27.5,1.1,2792,20.9
Manhattan Community District 5,105,Manhattan,76,22.2,6.1,1,67.1,3.6,18.7,2.70,7.9,11.8,1.4,31.9,2.3,,,2.9,0.6,24.4,1.1,4538,58.8
Manhattan Community District 6,106,Manhattan,,,6.6,0.9,67.2,4.4,18,2.60,7.8,9,1.2,34.3,2.2,,,2.3,0.4,27.4,1.2,1715,10.7
Manhattan Community District 7,107,Manhattan,,,8.8,0.8,65.3,6.3,9.9,2.60,15.9,9.2,1.3,30.5,1.8,,,2.8,0.4,32.4,1.1,1860,8.8
Manhattan Community District 8,108,Manhattan,,,5,0.6,74.3,2.4,10.7,2.70,9.9,6.3,0.8,32.3,2,,,1.9,0.3,31.3,1.1,2192,10.2
Manhattan Community District 9,109,Manhattan,,,18.9,1.4,26.8,21.2,8.3,3.30,40.4,20.2,2.2,45.2,2.2,,,4.1,0.6,36.8,1.9,1450,12.8
Manhattan Community District 10,110,Manhattan,,,12,1.1,14.7,53.2,3.5,3.00,25.6,20.6,1.8,38.2,1.7,,,5.7,0.6,37.9,1.6,1950,13.3
Manhattan Community District 11,111,Manhattan,,,17.5,1.2,13.9,32.4,7.1,2.10,44.5,23.7,2,39.7,1.9,,,5,0.6,35.4,1.8,1934,15.4
Manhattan Community District 12,112,Manhattan,,,36.5,1.4,20.2,7,3,1.80,68,19.5,1.7,42.4,1.6,,,5.2,0.5,41.6,1.7,1981,9.6
Queens Community District 1,401,Queens,,,22.2,0.9,47.4,8.3,15.4,2.90,26,16.7,1.3,35.6,1.3,,,3.3,0.4,40.2,1.1,1821,10.3
Queens Community District 2,402,Queens,,,36.5,1.5,26.6,3.8,36.2,2.80,30.6,14.8,1.3,38.2,1.8,,,3.1,0.4,37.6,1.4,954,6.5
Queens Community District 3,403,Queens,,,48.9,1.4,12,5,17.6,1.40,64,22.1,1.7,52.7,2.1,,,3,0.3,42.9,1.8,1456,7.9
Queens Community District 4,404,Queens,,,51.9,1.4,5.8,4.3,32.7,1.80,55.4,23.2,2,52,2,,,2.8,0.3,43.7,1.7,1209,5.9
Queens Community District 5,405,Queens,,,24.4,1,50.1,1.4,9.9,1.80,36.8,15.6,1.1,39.4,1.7,,,3,0.3,42.9,1.3,1320,6.9
Queens Community District 6,406,Queens,,,24.7,1.2,47.7,3.3,28.4,4.10,16.5,13.8,1.8,42.3,2.2,,,2.5,0.3,44.3,1.5,516,4.0
Queens Community District 7,407,Queens,,,52.2,1.4,24.9,1.8,53.4,2.20,17.7,22.9,1.4,57.3,1.8,,,2.4,0.2,41.7,1.3,1883,7.4
Queens Community District 8,408,Queens,,,29,1.4,27.2,12.6,34.8,4.80,20.6,18.9,1.5,46,2.2,,,5,0.5,44.7,1.6,1194,6.6
Queens Community District 9,409,Queens,,,26.8,1.1,16.9,6.1,27,8.20,41.8,19.6,1.6,47.8,2,,,3.8,0.3,47.3,1.5,712,4.4
Queens Community District 10,410,Queens,,,13.6,0.9,21.9,13.9,25.5,13.20,25.5,17,1.5,46.9,3.4,,,4.2,0.4,46.6,1.9,1148,8.5
Queens Community District 11,411,Queens,,,30.9,1.5,38.6,2.5,45.1,2.10,11.7,12.5,1.3,42.6,2.7,,,2.6,0.4,44.7,1.7,692,5.5
Queens Community District 12,412,Queens,,,15.7,0.9,2.5,59.3,14.5,7.50,16.2,17.1,1.1,45.2,1.8,,,5.3,0.4,48.5,1.4,2670,9.9
Queens Community District 13,413,Queens,,,13.1,0.8,10.5,54.6,16.1,5.80,13,10.8,1.1,40.9,2.6,,,4.1,0.3,48.2,1.5,1572,7.5
Queens Community District 14,414,Queens,,,12.4,1.1,33.5,36.5,3.5,2.50,24,16.6,2.1,41.3,2.5,,,4.8,0.7,50.2,2.8,1289,10.0
Staten Island Community District 1,501,Staten Island,,,12.4,0.8,38.4,20.9,10,2.60,28.1,11.9,1.3,49,2.7,,,2.8,0.4,44.1,1.8,1283,7.1
Staten Island Community District 2,502,Staten Island,,,13.9,1,65.1,3.8,14.2,2.40,14.5,12.4,1.6,44.4,3.6,,,2.8,0.3,44.6,1.9,597,4.1
Staten Island Community District 3,503,Staten Island,,,7.2,0.6,82.2,0.9,4.9,1.30,10.7,21.7,1.7,36.7,4,,,2.5,0.3,46.7,1.7,425,2.5
