acs_tooltip,acs_tooltip_2,acs_tooltip_3,borocd
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3810, which is an approximation of both Manhattan CD 1 and Manhattan CD 2","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3810, which is an approximation of Manhattan CD 1.",2010 Census population counts for floodplain area within Manhattan CD 1.,101
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3810, which is an approximation of both Manhattan CD 2 and Manhattan CD 1","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3810, which is an approximation of Manhattan CD 2.",2010 Census population counts for floodplain area within Manhattan CD 2.,102
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3809, which is an approximation of Manhattan CD 3","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3809, which is an approximation of Manhattan CD 3.",2010 Census population counts for floodplain area within Manhattan CD 3.,103
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3807, which is an approximation of both Manhattan CD 4 and Manhattan CD 5","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3807, which is an approximation of Manhattan CD 4.",2010 Census population counts for floodplain area within Manhattan CD 4.,104
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3807, which is an approximation of both Manhattan CD 5 and Manhattan CD 4","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3807, which is an approximation of Manhattan CD 5.",2010 Census population counts for floodplain area within Manhattan CD 5.,105
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3808, which is an approximation of Manhattan CD 6","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3808, which is an approximation of Manhattan CD 6.",2010 Census population counts for floodplain area within Manhattan CD 6.,106
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3806, which is an approximation of Manhattan CD 7","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3806, which is an approximation of Manhattan CD 7.",2010 Census population counts for floodplain area within Manhattan CD 7.,107
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3805, which is an approximation of Manhattan CD 8","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3805, which is an approximation of Manhattan CD 8.",2010 Census population counts for floodplain area within Manhattan CD 8.,108
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3802, which is an approximation of Manhattan CD 9","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3802, which is an approximation of Manhattan CD 9.",2010 Census population counts for floodplain area within Manhattan CD 9.,109
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3803, which is an approximation of Manhattan CD 10","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3803, which is an approximation of Manhattan CD 10.",2010 Census population counts for floodplain area within Manhattan CD 10.,110
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3804, which is an approximation of Manhattan CD 11","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3804, which is an approximation of Manhattan CD 11.",2010 Census population counts for floodplain area within Manhattan CD 11.,111
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3801, which is an approximation of Manhattan CD 12","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3801, which is an approximation of Manhattan CD 12.",2010 Census population counts for floodplain area within Manhattan CD 12.,112
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3710, which is an approximation of both Bronx CD 1 and Bronx CD 2","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3710, which is an approximation of Bronx CD 1.",2010 Census population counts for floodplain area within Bronx CD 1.,201
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3710, which is an approximation of both Bronx CD 2 and Bronx CD 1","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3710, which is an approximation of Bronx CD 2.",2010 Census population counts for floodplain area within Bronx CD 2.,202
"American Community Survey 2014-2018 5-Year Estimates for PUMA 3705, which is an approximation of both Bronx CD 3 and Bronx CD 6","American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3705, which is an approximation of Bronx CD 3.",2010 Census population counts for floodplain area within Bronx CD 3.,203
