borocd,puma,female_50_54,moe_under18_rate_nyc,moe_under18_rate_boro,pop_acs,pct_hispanic,pct_asian_nh,pct_black_nh,pct_white_nh,female_85_over,male_85_over,female_80_84,male_80_84,female_75_79,male_75_79,female_70_74,male_70_74,female_65_69,male_65_69,female_60_64,male_60_64,female_55_59,male_55_59,male_50_54,female_45_49,male_45_49,female_40_44,male_40_44,female_35_39,male_35_39,female_30_34,male_30_34,female_25_29,male_25_29,female_20_24,male_20_24,female_15_19,male_15_19,female_10_14,male_10_14,female_5_9,male_5_9,female_under_5,male_under_5,moe_over65_rate_nyc,over65_rate_nyc,moe_over65_rate_boro,over65_rate_boro,moe_over65_rate,over65_rate,under18_rate_nyc,under18_rate_boro,moe_under18_rate,under18_rate,moe_lep_rate_nyc,lep_rate_nyc,moe_lep_rate_boro,lep_rate_boro,moe_lep_rate,lep_rate,moe_foreign_born,pct_foreign_born,moe_hh_rent_burd_nyc,pct_hh_rent_burd_nyc,moe_hh_rent_burd_boro,pct_hh_rent_burd_boro,moe_hh_rent_burd,pct_hh_rent_burd,moe_mean_commute_nyc,mean_commute_nyc,moe_mean_commute_boro,mean_commute_boro,moe_mean_commute,mean_commute,moe_unemployment_nyc,unemployment_nyc,moe_unemployment_boro,unemployment_boro,moe_unemployment,unemployment,moe_bach_deg_nyc,pct_bach_deg_nyc,moe_bach_deg_boro,pct_bach_deg_boro,moe_bach_deg,pct_bach_deg,pct_other_nh,crime_count,crime_count_boro,crime_count_nyc,crime_per_1000,crime_per_1000_boro,crime_per_1000_nyc,lot_area___res_1_2_family_bldg,pct_lot_area___res_1_2_family_bldg,lot_area___res_multifamily_walkup,pct_lot_area___res_multifamily_walkup,lot_area___res_multifamily_elevator,pct_lot_area___res_multifamily_elevator,lot_area___mixed_use,pct_lot_area___mixed_use,lot_area___commercial_office,pct_lot_area___commercial_office,lot_area___industrial_manufacturing,pct_lot_area___industrial_manufacturing,lot_area___transportation_utility,pct_lot_area___transportation_utility,lot_area___public_facility_institution,pct_lot_area___public_facility_institution,lot_area___open_space,pct_lot_area___open_space,lot_area___parking,pct_lot_area___parking,lot_area___vacant,pct_lot_area___vacant,lot_area___other_no_data,pct_lot_area___other_no_data,total_lot_area,lots_res_1_2_family_bldg,lots_res_multifamily_walkup,lots_res_multifamily_elevator,lots_mixed_use,lots_commercial_office,lots_industrial_manufacturing,lots_transportation_utility,lots_public_facility_institution,lots_open_space,lots_parking,lots_vacant,lots_other_no_data,lots_total,count_parks,count_hosp_clinic,count_libraries,count_public_schools,fp_100_area,fp_100_bldg,cd_tot_bldgs,fp_100_resunits,cd_tot_resunits,fp_100_openspace,fp_500_area,fp_500_openspace,v_pluto,v_acs,v_facdb,v_crime
401,4101,3,0,0,166962,26.6,15.5,6.7,48.3,1.2,0.6,1,0.6,1.3,1.1,1.7,1.4,2.4,1.7,2.4,2.3,2.8,2.5,2.7,2.8,3.2,2.9,3.3,4.2,4.9,6.5,6.3,7.5,7.1,3.4,3.1,1.8,1.8,1.7,1.9,1.8,2,2.2,2.6,0,14.1,0,14.8,0.6,13,20.9,20.3,0.6,14.5,0.1,23.1,0.2,28.8,0.9,24.8,1,39.7,0.3,44.2,0.5,46.2,1.4,37.4,0.1,41.2,0.2,44.1,0.4,40,0.1,4.4,0.1,4,0.4,4.5,0.2,37.4,0.3,31.5,1,46.4,2.90,1821,18526,92480,10.9,8.1,11.0,1787264,14.23,1906398,15.17,768190,6.11,666683,5.31,749404,5.96,983997,7.83,2070332,16.48,2118561,16.86,756239,6.02,265127,2.11,353505,2.81,138177,1.10,12563877,8243,6406,216,1738,653,816,253,195,56,376,392,56,19400,10,19,4,27,46845323,1256,24737,5610,89164,4090000,54226987,4097777,20v4,Y2014-2018,2020/06/24,2019
502,3902,3.9,0,0,136950,13.9,13.8,4.1,66.1,1.8,0.7,1.3,0.8,1.6,1.2,2.2,1.8,2.9,2.6,3.6,3.3,3.7,3.3,3.4,3.7,3.4,3.3,3.4,3.1,2.5,3.2,3.3,3.4,3.5,2.9,2.7,2.8,2.8,3.1,2.9,3,3.2,2.9,2.8,0,14.1,0,15.5,0.6,16.9,20.9,22,0.7,21.5,0.1,23.1,0.5,10.9,0.9,13.8,1.1,28.7,0.3,44.2,1.7,46.5,3.7,43.1,0.1,41.2,0.6,44.5,1.1,43.8,0.1,4.4,0.2,2.8,0.3,2.8,0.2,37.4,0.7,33,1.2,33.6,2.10,597,2308,92480,4.4,4.9,11.0,12099859,27.85,943347,2.17,325013,0.75,218785,0.50,2004764,4.61,1012182,2.33,4412259,10.15,4731750,10.89,9145630,21.05,216024,0.50,7604164,17.50,740199,1.70,43453976,30099,516,21,374,741,96,158,196,169,162,2347,52,34931,4,19,3,22,259613632,8063,40253,8404,49180,80065228,234997082,70550016,20v4,Y2014-2018,2020/06/24,2019
310,4013,3.7,0,0,123075,16.6,24.4,2.1,54.6,1.8,0.7,1.3,0.9,1.5,1.3,2,1.8,2.8,2.3,3.3,3.1,3.4,3.4,3.5,3.2,3.3,3.3,3.2,3.6,3.2,4,4.2,3.8,4.2,2.7,2.7,2.5,2.2,2.6,2.5,2.6,2.7,3.1,3.3,0,14.1,0,13.2,0.7,16.6,20.9,23.1,0.6,19.6,0.1,23.1,0.2,23.6,1.1,28.3,1.1,39.1,0.3,44.2,0.4,45.4,1.7,43.4,0.1,41.2,0.2,42.6,0.7,44.5,0.1,4.4,0.1,4.4,0.4,3.8,0.2,37.4,0.3,36.5,1,41.8,2.30,753,26514,92480,6.1,10.2,11.0,2738047,36.10,749538,9.88,310595,4.09,441020,5.81,194410,2.56,26998,0.36,190443,2.51,1122037,14.79,1733066,22.85,40602,0.54,32287,0.43,6451,0.09,7585493,11686,2580,172,1838,272,40,75,147,29,86,142,17,17084,7,15,4,15,29143713,135,24076,0,53442,20075000,30590932,21476950,20v4,Y2014-2018,2020/06/24,2019
410,4113,3.8,0,0,136661,25.8,23.7,14.1,21.5,1.2,0.6,0.9,0.7,1.5,1.3,1.7,1.4,2.7,2.1,3.2,3.2,4.1,3.7,4,3.7,3.4,3.4,3.3,3.1,3,3.2,3,3.8,3.8,4,3.2,2.9,3,3.1,3.3,2.5,2.3,2.7,3.1,0,14.1,0,14.8,0.7,14.1,20.9,20.3,0.6,20.8,0.1,23.1,0.2,28.8,0.8,13,1.3,45,0.3,44.2,0.5,46.2,3.1,50.1,0.1,41.2,0.2,44.1,0.9,46.2,0.1,4.4,0.1,4,0.4,4.8,0.2,37.4,0.3,31.5,1.1,22.4,14.90,1148,18526,92480,8.4,8.1,11.0,6136800,55.81,562550,5.12,131364,1.19,193600,1.76,342652,3.12,62490,0.57,592653,5.39,286240,2.60,2169143,19.73,80037,0.73,423559,3.85,15235,0.14,10996322,21287,970,15,833,376,57,180,121,120,228,911,45,25143,4,6,4,19,42708226,5807,37153,6840,39302,18396547,45564578,18287219,20v4,Y2014-2018,2020/06/24,2019
104,3807,2.3,0,0,154496,15.5,17.2,5.2,59.1,0.9,0.6,0.7,0.8,1.4,1.1,2.1,1.4,2.1,2.4,2.7,3.1,2.7,3.7,3.6,2.9,3.9,3,4.8,3.8,5.1,6.4,7.2,7.2,7,4,3.3,1.7,1.1,0.9,0.8,1,1,1.8,1.5,0,14.1,0,15.8,0.7,13.4,20.9,14.4,0.6,8.2,0.1,23.1,0.2,15.8,1,9.7,1.2,30.8,0.3,44.2,0.5,36.4,1.9,33.9,0.1,41.2,0.2,32.1,0.6,26.7,0.1,4.4,0.1,3.8,0.4,3.5,0.2,37.4,0.4,60.8,1.2,74.1,3.00,2792,26271,92480,18.1,16.1,11.0,26852,0.86,239589,7.70,450362,14.48,645209,20.74,548400,17.63,73867,2.37,414669,13.33,364108,11.71,87398,2.81,103574,3.33,137880,4.43,18524,0.60,3110433,162,960,320,1008,479,55,94,163,25,73,70,8,3417,7,38,2,29,16322398,377,3829,9668,85706,186410,8430455,442059,20v4,Y2014-2018,2020/06/24,2019
413,4105,4.3,0,0,202700,12.5,15.3,55.7,10.9,1.5,0.6,1.3,0.7,1.7,1.2,2.4,2.1,2.8,2.2,3.7,3.1,3.9,3.4,3.4,3.7,2.9,3.2,2.7,3.2,3,3.3,3.4,3.9,3.6,3.3,3.4,2.8,2.8,2.6,2.8,2.6,2.7,3,2.8,0,14.1,0,14.8,0.5,16.6,20.9,20.3,0.5,19.9,0.1,23.1,0.2,28.8,0.6,12.4,0.9,42.2,0.3,44.2,0.5,46.2,2.5,43.5,0.1,41.2,0.2,44.1,0.7,47.6,0.1,4.4,0.1,4,0.4,4.4,0.2,37.4,0.3,31.5,0.8,29.8,5.60,1572,18526,92480,7.8,8.1,11.0,13716053,61.24,1163022,5.19,427352,1.91,180078,0.80,615107,2.75,485214,2.17,721803,3.22,1787899,7.98,2532255,11.31,200876,0.90,416833,1.86,149233,0.67,22395724,39930,694,8,669,530,165,166,240,55,291,886,47,43681,6,9,6,34,29226892,1847,70686,2589,61032,18266605,38022070,20505578,20v4,Y2014-2018,2020/06/24,2019
107,3806,3.5,0,0,195143,14.6,9.1,5.4,68,2,1.4,1.3,0.8,1.9,1.1,3.2,2.3,3.8,2.8,3.6,3,3.5,2.8,3.3,3.4,3.3,4.1,3.3,4.2,3.4,5.3,4.4,4.4,3.9,2.3,1.2,1.5,1.4,2.1,1.8,2.4,1.7,2.7,2.8,0,14.1,0,15.8,0.8,20.6,20.9,14.4,0.6,15.5,0.1,23.1,0.2,15.8,1,8.4,1.1,22.1,0.3,44.2,0.5,36.4,1.8,31.4,0.1,41.2,0.2,32.1,0.6,32.2,0.1,4.4,0.1,3.8,0.5,3.3,0.2,37.4,0.4,60.8,1.2,77,2.90,1860,26271,92480,9.5,16.1,11.0,83445,2.16,420231,10.89,925458,23.97,717189,18.58,139629,3.62,3043,0.08,362942,9.40,395026,10.23,736562,19.08,9654,0.25,67005,1.74,229,0.01,3860415,475,1921,794,787,120,4,12,208,36,17,51,1,4426,4,18,4,35,30699955,17,4719,2197,129548,5477848,10669806,8228273,20v4,Y2014-2018,2020/06/24,2019
209,3709,3.7,0,0,186915,58.4,7.4,28.7,2.9,0.9,0.4,0.9,0.6,1.6,1,1.8,1.3,2.4,1.6,3.1,2.3,3.3,2.5,2.8,3.5,3.4,3.2,2.4,3.8,3,3.7,3.6,4.3,4.1,4.1,3.9,2.9,3.2,3.4,3.2,3,3.9,3.4,3.9,0,14.1,0,12.1,0.6,12.5,20.9,25.1,0.7,24.5,0.1,23.1,0.3,25.8,1,24.8,1.2,33.1,0.3,44.2,0.6,50.9,1.6,48.9,0.1,41.2,0.3,44.8,0.9,46.4,0.1,4.4,0.2,6.3,0.5,6,0.2,37.4,0.3,19.8,0.9,17.4,2.60,1783,18859,92480,9.5,13.1,11.0,1582256,21.50,1024029,13.92,1244351,16.91,457798,6.22,409794,5.57,301922,4.10,220538,3.00,464302,6.31,942915,12.81,263901,3.59,371414,5.05,75053,1.02,7358274,6227,3154,110,310,275,70,57,154,44,187,392,33,11013,8,14,4,41,23183584,807,13464,1172,66385,9258505,32556528,9695178,20v4,Y2014-2018,2020/06/24,2019
106,3808,2.9,0,0,146915,7.3,16.6,3.4,69.7,1.7,0.9,1.3,1,1.8,1.2,2.7,1.9,3,2.5,3.1,2.2,2.6,2.9,2.4,2.5,3,3.1,2.7,3.7,3.8,5.4,5.7,8.4,7.3,4.8,4.1,2,1.3,1,1.1,1.2,1,1.8,1.8,0,14.1,0,15.8,0.8,18.2,20.9,14.4,0.8,8.8,0.1,23.1,0.2,15.8,0.8,5.8,1.4,23.2,0.3,44.2,0.5,36.4,2,35.1,0.1,41.2,0.2,32.1,0.7,27.1,0.1,4.4,0.1,3.8,0.4,2.5,0.2,37.4,0.4,60.8,1.3,80.5,3.00,1715,26271,92480,11.7,16.1,11.0,42811,1.77,110878,4.60,412829,17.11,848595,35.17,346003,14.34,199,0.01,98911,4.10,394106,16.33,79367,3.29,15900,0.66,58087,2.41,5075,0.21,2412763,260,498,418,940,319,1,41,209,37,23,62,4,2812,6,48,3,16,9894266,172,3056,18432,100985,421249,6729964,107937,20v4,Y2014-2018,2020/06/24,2019
411,4104,4.4,0,0,119789,11.1,45.3,1.9,39.4,2.1,1.1,1.3,1.1,1.9,1.5,2.4,2.2,3.4,3.3,3.8,3.3,4.1,3.8,3.9,3.4,3.2,3.6,3,3,3.2,3.1,2.9,3.1,3.2,2.2,2.3,2.2,2.5,2.5,2.7,2.2,2.6,2.3,3,0,14.1,0,14.8,0.8,20.4,20.9,20.3,0.8,18.4,0.1,23.1,0.2,28.8,1.1,29.4,1,43.6,0.3,44.2,0.5,46.2,3.1,43,0.1,41.2,0.2,44.1,0.8,44.4,0.1,4.4,0.1,4,0.4,2.7,0.2,37.4,0.3,31.5,1.2,42.1,2.30,692,18526,92480,5.8,8.1,11.0,9210558,54.85,1810348,10.78,279435,1.66,154378,0.92,505879,3.01,32633,0.19,219833,1.31,831633,4.95,3346301,19.93,66063,0.39,321743,1.92,13940,0.08,16792743,23037,953,22,380,412,11,62,170,128,123,501,23,25822,4,13,5,22,18189103,383,39568,386,45217,12684458,13701945,10042747,20v4,Y2014-2018,2020/06/24,2019
