boro,borocd,neighborhood,5yr_avg_pov_rate,moe
2,201,Melrose,32.3,2.1
2,202,Hunts Point & Longwood,32.3,2.1
2,203,Crotona Park East,31.4,2.2
2,206,Belmont & East Tremont,31.4,2.2
2,204,"Concourse, Highbridge & Mount Eden",34.7,1.9
2,205,"Morris Heights, Fordham South & Mount Hope",37.1,2.5
2,207,"Bedford Park, Fordham North & Norwood",30.8,2.6
2,208,"Riverdale, Fieldston & Kingsbridge",18.6,2
2,209,"Castle Hill, Clason Point & Parkchester",29.6,1.7
2,210,"Co-op City, Pelham Bay & Schuylerville",14.3,1.7
2,211,"Pelham Parkway, Morris Park & Laconia",20,1.8
2,212,"Wakefield, Willamsbridge & Woodlawn",22,2
3,301,Greenpoint & Williamsburg,15.4,1.6
3,302,Brooklyn Heights & Fort Greene,12,1.4
3,303,Bedford-Stuyvesant,21.6,2
3,304,Bushwick,24.6,2
3,305,East New York & Starrett City,28.9,2.1
3,306,"Park Slope, Carroll Gardens & Red Hook",10,1.3
3,307,Sunset Park & Windsor Terrace,23.9,2
3,308,Crown Heights North & Prospect Heights,21.1,1.8
3,309,"Crown Heights So, Prospect Lefferts & Wingate",20.8,1.9
3,310,Bay Ridge & Dyker Heights,17.6,1.5
3,311,Bensonhurst & Bath Beach,22.6,1.7
3,312,"Borough Park, Kensington & Ocean Parkway",26.1,2.2
3,313,Brighton Beach & Coney Island,25.1,2.2
3,314,Flatbush & Midwood,20.4,1.7
3,315,"Sheepshead Bay, Gerritsen Beach & Homecrest",17.5,1.3
3,316,Brownsville & Ocean Hill,29.6,2.5
3,317,"East Flatbush, Farragut & Rugby",16.8,1.7
3,318,Canarsie & Flatlands,13.9,1.3
1,101,Battery Park City,7.9,1
1,102,Greenwich Village & Soho,7.9,1
1,103,Chinatown & Lower East Side,21.5,1.8
1,104,Chelsea & Clinton,11.8,1.4
1,105,Midtown Business District,11.8,1.4
1,106,"Murray Hill, Gramercy & Stuyvesant Town",9,1.2
1,107,Upper West Side & West Side,9.2,1.3
1,108,Upper East Side,6.3,0.8
1,109,"Hamilton Hts, Manhattanville & West Harlem",20.2,2.2
1,110,Central Harlem,20.6,1.8
1,111,East Harlem,23.7,2
1,112,"Washington Heights, Inwood & Marble Hill",19.5,1.7
4,401,Astoria & Long Island City,16.7,1.3
4,402,Sunnyside & Woodside,14.8,1.3
4,403,Jackson Heights & North Corona,22.1,1.7
4,404,Elmhurst & South Corona,23.2,2
4,405,"Ridgewood, Glendale & Middle Village",15.6,1.1
4,406,Forest Hills & Rego Park,13.8,1.8
4,407,"Flushing, Murray Hill & Whitestone",22.9,1.4
4,408,"Briarwood, Fresh Meadows & Hillcrest",18.9,1.5
4,409,Richmond Hill & Woodhaven,19.6,1.6
4,410,Howard Beach & Ozone Park,17,1.5
4,411,"Bayside, Douglaston & Little Neck",12.5,1.3
4,412,"Jamaica, Hollis & St Albans",17.1,1.1
4,413,"Queens Village, Cambria Heights & Rosedale",10.8,1.1
4,414,"Far Rockaway, Breezy Point & Broad Channel",16.6,2.1
5,501,"Port Richmond, Stapleton & Mariner's Harbor",11.9,1.3
5,502,New Springville & South Beach,12.4,1.6
5,503,"Tottenville, Great Kills & Annadale",21.7,1.7
